S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
151,MKHL,40.91,500.0,514.8,500.0,511.5,511.5,0.0,0.0,506.49,2565.0,500.0,1299151.0,41,11.5,14.8,2.3,2.96,0.98,551.69,638.03,915.0,457.0
152,MKJC,33.69,295.5,300.0,292.1,294.0,294.0,0.0,0.0,296.29,21258.0,294.5,6298521.9,80,-0.5,7.9,-0.17,2.7,-0.78,460.62,483.72,635.0,252.0
153,MLBBL,42.39,953.0,970.0,952.0,965.0,965.0,0.0,0.0,959.9,2817.0,950.1,2704034.0,32,14.9,18.0,1.57,1.89,0.53,1154.47,1231.2,1661.0,894.0
154,MLBL,44.74,358.7,364.9,358.7,361.4,361.4,0.0,0.0,361.0,30060.0,358.1,10851518.8,59,3.3,6.2,0.92,1.73,0.11,361.49,366.24,418.0,330.7
155,MLBS,38.77,1000.0,1035.1,1000.0,1035.1,1035.1,0.0,0.0,1008.21,128.0,1020.0,129051.0,5,15.1,35.1,1.48,3.51,2.6,1217.99,1300.52,1666.0,967.0
156,MLBSL,38.42,1140.0,1140.0,1125.0,1125.0,1125.0,0.0,0.0,1129.47,1228.0,1125.0,1386986.3,28,0.0,15.0,0.0,1.33,-0.4,1647.11,1741.15,2272.5,1026.0
157,MMF1,23.79,9.0,9.0,8.64,8.97,8.97,0.0,0.0,8.85,8109.0,8.97,71774.1,17,0.0,0.36,0.0,4.17,1.32,9.4,9.27,10.16,8.22
158,MMKJL,33.08,363.7,363.7,355.0,360.0,360.0,0.0,0.0,355.99,3709.0,358.7,1320363.9,43,1.3,8.7,0.36,2.45,1.11,477.43,515.67,699.9,309.0
159,MNBBL,39.88,340.0,341.0,333.0,335.0,335.0,0.0,0.0,335.61,42382.0,336.0,14223900.7,223,-1.0,8.0,-0.3,2.4,-0.18,368.25,367.28,467.0,314.2
160,MNMF1,34.38,9.18,9.18,9.11,9.12,9.12,0.0,0.0,9.15,3700.0,9.18,33869.0,12,-0.06,0.07,-0.65,0.77,-0.37,9.75,9.63,10.4,8.53
161,MPFL,38.25,595.0,610.0,587.0,598.8,598.8,0.0,0.0,596.23,20380.0,594.9,12151084.5,95,3.9,23.0,0.66,3.92,0.43,620.24,626.68,744.0,491.0
162,MSHL,34.17,538.0,554.0,525.1,531.1,531.1,0.0,0.0,540.14,361.0,538.0,194991.6,20,-6.9,28.9,-1.28,5.5,-1.7,655.97,714.77,953.7,481.0
163,MSLB,41.18,1228.0,1228.0,1200.0,1212.0,1212.0,0.0,0.0,1205.16,1226.0,1195.0,1477527.0,22,17.0,28.0,1.42,2.33,0.56,1249.57,1277.06,1634.0,1089.9
164,NABBC,44.64,720.0,800.0,720.0,793.0,793.0,0.0,0.0,777.45,40405.0,745.0,31412906.1,307,48.0,80.0,6.44,11.11,1.96,924.51,1093.07,1835.0,662.0
165,NABIL,40.93,560.0,565.0,558.1,560.0,560.0,0.0,0.0,560.77,51747.0,560.0,29018169.7,408,0.0,6.9,0.0,1.24,-0.14,536.06,524.96,581.0,471.0
166,NADEP,39.72,704.9,705.0,690.0,702.9,702.9,0.0,0.0,695.31,790.0,690.0,549295.0,11,12.9,15.0,1.87,2.17,1.08,741.82,761.1,871.0,652.0
167,NBF2,25.61,9.5,9.5,9.3,9.3,9.3,0.0,0.0,9.34,11600.0,9.55,108321.0,9,-0.25,0.2,-2.62,2.15,-0.41,9.98,9.85,10.7,8.89
168,NBF3,42.75,9.26,9.7,9.26,9.7,9.7,0.0,0.0,9.59,22500.0,9.41,215722.0,19,0.29,0.44,3.08,4.75,1.16,9.86,9.7,10.22,8.35
169,NBL,42.75,287.0,290.0,285.5,288.5,288.5,0.0,0.0,287.74,198024.0,284.7,56978758.8,385,3.8,4.5,1.33,1.58,0.26,270.51,262.98,302.9,225.4
170,NESDO,35.63,1314.4,1351.0,1314.4,1351.0,1351.0,0.0,0.0,1324.75,238.0,1354.9,315289.7,16,-3.9,36.6,-0.29,2.78,1.94,1502.82,1513.2,1682.0,1272.2
171,NFS,38.17,515.0,515.0,505.0,508.0,508.0,0.0,0.0,511.13,4569.0,507.9,2335341.0,61,0.1,10.0,0.02,1.98,-0.62,579.29,600.57,725.0,465.0
172,NGPL,40.64,408.0,415.9,406.4,409.0,409.0,0.0,0.0,410.44,120338.0,408.9,49391311.9,337,0.1,9.5,0.02,2.34,-0.35,427.72,425.31,502.0,343.0
173,NHDL,38.68,649.0,649.0,633.0,640.0,640.0,0.0,0.0,635.74,626.0,633.0,397971.2,21,7.0,16.0,1.11,2.53,0.67,637.75,651.27,796.0,606.2
174,NHPC,39.8,269.0,270.0,264.0,265.0,265.0,0.0,0.0,266.25,142101.0,263.7,37835009.4,331,1.3,6.0,0.49,2.27,-0.47,278.13,258.49,340.0,178.6
175,NIBD84,33.94,1026.3,1035.0,1026.3,1035.0,1035.0,0.0,0.0,1032.1,75.0,1031.1,77407.5,2,3.9,8.7,0.38,0.85,0.28,1053.32,1050.05,1130.0,1017.2
176,NIBLGF,38.12,8.7,8.73,8.7,8.73,8.73,0.0,0.0,8.71,15700.0,8.48,136756.0,5,0.25,0.03,2.95,0.34,0.22,9.31,9.26,11.81,8.1
177,NIBLSTF,38.47,8.33,8.5,8.33,8.4,8.4,0.0,0.0,8.4,21690.0,8.3,182089.7,9,0.1,0.17,1.2,2.04,0.06,9.0,8.97,10.85,8.0
178,NIBSF2,39.63,8.61,8.86,8.61,8.61,8.61,0.0,0.0,8.62,14710.0,8.62,126872.1,15,-0.01,0.25,-0.12,2.9,-0.17,9.08,9.04,11.13,8.1
179,NICA,41.5,322.0,328.9,322.0,325.0,325.0,0.0,0.0,324.38,63062.0,322.0,20455885.9,178,3.0,6.9,0.93,2.14,0.19,342.05,340.38,411.0,302.9
180,NICBF,36.62,8.91,9.16,8.91,9.16,9.16,0.0,0.0,8.97,1550.0,8.91,13898.0,3,0.25,0.25,2.81,2.81,2.11,9.43,9.29,11.2,8.45
181,NICFC,33.95,8.7,9.0,8.44,8.8,8.8,0.0,0.0,8.78,1400.0,8.96,12294.0,13,-0.16,0.56,-1.79,6.64,0.21,9.26,9.22,9.89,8.37
182,NICGF2,24.1,8.53,8.79,8.53,8.56,8.56,0.0,0.0,8.58,2101.0,8.54,18020.79,8,0.02,0.26,0.23,3.05,-0.2,9.3,9.26,10.13,8.33
183,NICL,34.22,463.0,471.9,456.1,461.0,461.0,0.0,0.0,457.85,8473.0,460.0,3879352.9,55,1.0,15.8,0.22,3.46,0.68,501.15,503.82,578.0,408.0
184,NICLBSL,37.68,525.0,529.9,519.0,522.9,522.9,0.0,0.0,520.46,2971.0,521.0,1546289.2,56,1.9,10.9,0.36,2.1,0.47,564.46,566.71,679.0,490.0
185,NICSF,41.3,8.35,8.68,8.2,8.68,8.68,0.0,0.0,8.4,4700.0,8.5,39468.0,8,0.18,0.48,2.12,5.85,3.26,9.11,9.06,9.97,8.04
186,NIFRA,43.81,250.0,255.0,250.0,250.0,250.0,0.0,0.0,251.12,98801.0,250.8,24810426.7,382,-0.8,5.0,-0.32,2.0,-0.45,256.45,260.36,299.0,232.0
187,NIL,37.52,539.0,540.0,530.1,534.9,534.9,0.0,0.0,533.21,5065.0,533.0,2700724.6,46,1.9,9.9,0.36,1.87,0.32,612.17,618.24,685.0,502.8
188,NIMB,38.43,195.0,195.0,190.2,191.9,191.9,0.0,0.0,191.91,63356.0,192.0,12158515.5,264,-0.1,4.8,-0.05,2.52,0.0,197.11,196.88,232.5,181.0
189,NIMBPO,38.73,141.3,144.0,141.2,144.0,144.0,0.0,0.0,141.31,2353.0,143.6,332491.6,8,0.4,2.8,0.28,1.98,1.87,149.43,152.24,174.9,135.1
190,NLG,35.97,547.0,547.0,523.6,537.0,537.0,0.0,0.0,532.93,7956.0,538.7,4240012.6,71,-1.7,23.4,-0.32,4.47,0.76,589.94,622.39,773.7,477.1
191,NLIC,43.52,726.0,739.9,723.0,729.1,729.1,0.0,0.0,728.37,33969.0,725.0,24741928.9,204,4.1,16.9,0.57,2.34,0.1,753.33,763.29,872.0,680.5
192,NLICL,42.01,578.0,579.0,568.1,578.9,578.9,0.0,0.0,572.37,16843.0,568.0,9640498.8,126,10.9,10.9,1.92,1.92,1.13,579.83,584.84,644.0,538.4
193,NMB,42.84,250.0,252.0,249.1,251.5,251.5,0.0,0.0,250.6,71314.0,249.0,17870990.2,206,2.5,2.9,1.0,1.16,0.36,243.85,243.7,272.0,230.0
194,NMBHF2,29.28,8.51,9.06,8.51,8.85,8.85,0.0,0.0,8.96,2750.0,8.47,24640.0,10,0.38,0.55,4.49,6.46,-1.24,9.6,9.54,10.2,8.36
195,NMBMF,39.82,615.0,615.0,602.0,602.5,602.5,0.0,0.0,608.4,1135.0,600.0,690528.5,20,2.5,13.0,0.42,2.16,-0.98,629.57,648.84,750.0,570.0
196,NMBUR93/94,28.5,934.0,934.0,930.0,934.0,934.0,0.0,0.0,932.67,75.0,907.6,69950.0,4,26.4,4.0,2.91,0.43,0.14,0.0,0.0,1000.0,903.1
197,NMFBS,45.23,1150.0,1179.5,1145.3,1179.0,1179.0,0.0,0.0,1161.08,12850.0,1148.0,14919929.0,118,31.0,34.2,2.7,2.99,1.52,1126.22,1143.67,1370.0,1051.9
198,NMIC,37.23,860.0,862.0,836.6,836.6,836.6,0.0,0.0,845.62,4151.0,859.9,3510153.2,84,-23.3,25.4,-2.71,3.04,-1.08,998.59,1099.08,1525.0,765.3
199,NMLBBL,41.75,504.1,513.9,494.0,499.7,499.7,0.0,0.0,498.2,6707.0,504.9,3341430.8,52,-5.2,19.9,-1.03,4.03,0.3,563.86,589.64,697.6,468.4
200,NRIC,38.77,865.0,865.0,830.0,837.0,837.0,0.0,0.0,835.19,14433.0,840.0,12054289.4,125,-3.0,35.0,-0.36,4.22,0.22,951.69,1057.4,1599.3,780.0
201,NRM,38.25,299.5,299.5,291.0,295.0,295.0,0.0,0.0,294.87,4495.0,295.0,1325461.0,57,0.0,8.5,0.0,2.92,0.04,348.18,376.72,470.0,270.9
